Image,,String,English,Marathi,Hindi,Malayalam,Nepali,Bangla,Gujarati,Punjabi,Tamil,Odia,Telugu,Assamese,Khasi,Kannada,Urdu,Manipuri,Konkani,Portuguese,Manipuri_meitei
1,Image 1,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
1,,2,Bats spread COVID-19 and we should remove bat colonies by cutting trees.,वटवाघळांमुळे कोविड-19 पसरतो आणि म्हणून वटवाघळांची वस्ती असलेली झाडे कापून टाकणेच श्रेयस्कर!,चमगादड़ों से कोविड-19 फैलता है इसलिए हमें पेड़ों को काट कर इनके रहने की जगह ही ख़तम कर देनी चाहिए।,വവ്വാലുകൾ കോവിഡ്-19 പരത്തും; അതിനാൽ അവ കൂട്ടത്തോടെ താമസിക്കുന്ന വലിയ മരങ്ങൾ മുറിച്ചു മാറ്റണം.,चमेरोले कोभिड-१९ संक्रमण फैलाउँछ त्यसैले चमेरोको बासस्थान नष्ट गर्नुपर्छ।  ,"বাদুড়েরা কোভিড-১৯ ছড়ায়, তাই বাদুড়দের আস্তানা ধ্বংস করতে বড় বড় গাছ কেটে ফেলা উচিত।",ચામાચીડિયા કોવિડ- ૧૯ ફેલાવે છે અને આપણે ઝાડ કાપીને ચામાચીડિયાઓ ની રેહવાની જગ્યા ને ખતમ કરી દેવું જોઈએ.,ਚਮਗਾਦੜਾਂ ਤੋਂ ਕੋਵਿਡ-19 ਫੈਲਦਾ ਹੈ ਇਸ ਲਈ ਸਾਨੂੰ ਦਰੱਖਤ ਕੱਟ ਕੇ ਇਹਨਾਂ ਦੇ ਰਹਿਣ ਦੀ ਜਗ੍ਹਾ ਖਤਮ ਕਰ ਦੇਣੀ ਚਾਹੀਦੀ ਹੈ।,"வெளவால்கள் COVID-19 ஐ பரப்புகின்றன, மேலும் மரங்களை வெட்டுவதன் மூலம் வெளவால் காலனிகளை அகற்ற வேண்டும்.",ବାଦୁଡି ଦ୍ଵାରା କରୋନା ସଙ୍କ୍ରମିତ ହୁଏ| ବଡ ବଡ ଗଛ କାଟି ସେମାନଙ୍କ ବସା ଗୁଡା ବିଲୋପ କରାଯିବା ଦରକାର |,కోవిద్-19 గబ్బిలాల వల్ల విస్తరిస్తుంది. అందువల్ల మనము గబ్బిలాల నివాస స్థలాన్ని తొలగించడానికి చెట్లను నరికివేయాలి.,বাদুলিয়ে ক'ভিড-১৯ বিয়পায় আৰু সেইবাবে গছ কাটি বাদুলিৰ জাকবোৰ আঁতৰাই পঠাব লাগে।,Ki lymbit ki pynsaphriang ïa ka COVID-19 bad ngi dei ban nym ai jaka shong ïa ki da kaba pom noh ïa ki dieng. ,"ಬಾವಲಿಗಳು ಕೋವಿಡ್-೧೯ ಸೋಂಕನ್ನು ಹರಡುತ್ತವೆ. ಆದ್ದರಿಂದ, ಅವು ವಾಸವಿರುವ ಮರಗಳನ್ನು ಕಡಿದು ಅವುಗಳನ್ನು ನಿರ್ನಾಮ ಮಾಡಬೇಕು ",چمگادڑ کوویڈ - ١٩ کو پھیلاتے ہیں اور ہمیں درخت کاٹ کر چمگادڑوں کی بیٹ کالونیوں کو ختم کردینا چاہئے۔,শেকপীনা কোভিদ-১৯ শন্দোকহল্লী অমসুং ঐখোইনা ঊ-ৱা য়ান্থৎলগা শেকপীগী মকোনশিং লৌথোক্কদবনি।,"वागळां (वटवागुळ) कोविड-१९ पसरयतात, तांची वसती आशिल्लीं झाडां कापूंक जाय. ",Morcegos espalham o Covid-19 e devemos remover colônias de morcegos cortando árvores,seQpin kovid-19 sNdoQI adun mAKoIgi mkoL lOToQnb UpAL-wApAL yANTYkdbniz
1,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
1,,4,Not True!,असत्य / खोटं!,असत्य / झूठ ,ശരിയല്ല!,सत्य होइन । ,সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,মিছা !,Kam dei kaba shisha!,ನಿಜವಲ್ಲ!,یہ سچ نہیں ہے۔,লাল্লি !,खरें न्हंय!,Falso!,cuMde
1,,5,,,,,,,,,,,,,,,,,,,
1,,6,Why?,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,কিয়? :,Balei?,ಏಕೆ:,کیوں,মরমদিঃ,किद्याक?,Porque?,mrM:
1,,7,"Bats in India are not known to spread the novel coronavirus. But they are important for agriculture and pest control. Cutting big trees to remove bats will only lead to environmental damage. Let the bats live, just maintain a safe distance from them.","भारतातल्या वटवाघळांच्या प्रजाती हा कोरोनाविषाणू पसरवत असल्याचा कोणताही पुरावा नाही. उलटपक्षी वटवाघळे शेतीसाठी आणि कृमीकिटकांच्या नाशासाठी उपयुक्त असतात. वटवाघळांची वस्ती असलेली मोठी झाडे कापून टाकणे हे पर्यावरणासाठी हानीकारक ठरेल. वटवाघळांना झाडांवर राहू द्या, फक्त त्यांच्यापासून सुरक्षित अंतर ठेवा.","भारत में अभी तक चमगादड़ों से नॉवेल कोरोना विषाणु के फैलने की कोई जानकारी नहीं है।  परन्तु चमगादड़ खेती और कीट-पतंगों को नियंत्रण में रखने के लिए उपयोगी हैं।  उन्हें खदेड़ने के लिए बड़े-बड़े पेड़ काटने से हमारे पर्यावरण को ही हानि पहुंचेगी। चमगादड़ों को जीने दें, बस उनसे सुरक्षित दूरी बनाये रखें। ","ഇന്ത്യയിലുള്ള വവ്വാലുകൾ കൊറോണവൈറസ് പരത്തും എന്നതിന് തെളിവില്ല. എന്നാൽ പല  കാർഷിക ആവശ്യങ്ങൾക്കും, കീടങ്ങളെ നിയന്ത്രിക്കുന്നതിലും അവ  സുപ്രധാന പങ്കു വഹിക്കുന്നുണ്ട്. വന്മരങ്ങൾ മുറിച്ചു മാറ്റുന്നത് പരിസ്ഥിതി സന്തുലനം തകർക്കാനേ ഉപകരിയ്ക്കൂ. വവ്വാലുകളെ  ജീവിയ്ക്കാൻ അനുവദിയ്‌ക്കൂ; അവയുമായി അടുത്തിടപഴകാതെ, സുരക്ഷിതമായ അകലം പാലിച്ചാൽ മതി. ","नेपालका चमेरोले नोबेल कोरोना भईरस फैलाएको भेटिएको छैन। तर यो प्राणीले नेपालको कृषि तथा कीट नियन्त्रणमा महत्वपुर्ण भूमिका खेलिरहेको छ। चमेरोको बासस्थान नष्ट गर्दा नोबेल कोरोना भाईरसको संक्रमण फैलिन रोकिने नभई वातावरणीय क्षति भने पक्कै हुन्छ।  त्यसैले चमेरोलाई पनि बाच्न दिऔं, यी प्राणीसंग सुरक्षित दुरी चाही अवलम्वन गरौँ। ","ভারতীয় বাদুড়েরা করোনা ভাইরাস ছড়াতে পারে না। বরং চাষবাস, ফলের উৎপাদন ও কীটপতঙ্গের নিয়ন্ত্রণের জন্য অত্যন্ত প্রয়োজনীয় বাদুড়। বড় বড় গাছ কেটে ফেললে পরিবেশের ক্ষতি হবে। বাদুড়দের উৎপাত না করে নিজেদের মত থাকতে দিয়ে তাদের থেকে নিরাপদ দূরত্ব বজায় রাখা বাঞ্ছনীয়।","ચામાચીડિયા કોરોનાવાયરસ ફેલાવી શકે છે એવી ભારતમાં કોઈ જાણકારી નથી. પરંતુ તે કૃષિ અને જંતુ નિયંત્રણ માટે મહત્વપૂર્ણ છે. ચામાચીડિયાઓને દૂર કરવા માટે મોટા ઝાડ કાપવાથી ફક્ત પર્યાવરણીય નુકસાન થશે. ચામાચીડિયાઓને જીવંત રહેવા દો, ફક્ત તેમના થી સુરક્ષિત અંતર જાળવો.","ਭਾਰਤ ਵਿੱਚ ਚਮਗਾਦੜਾਂ ਦਾ ਕੋਰੋਨਾਵਾਇਰਸ ਦੇ ਫੈਲਣ ਨਾਲ ਕੋਈ ਸੰਬੰਧ ਨਹੀਂ ਹੈ। ਪਰ ਇਹ ਖੇਤੀਬਾਡ਼ੀ ਵਿੱਚ ਅਤੇ ਕੀੜਿਆਂ ਦੇ ਰੋਕਥਾਮ ਵਿੱਚ ਮਹੱਤਵਪੂਰਨ ਭੂਮਿਕਾ ਨਿਭਾਉਂਦੇ ਹਨ। ਇਹਨਾਂ ਤੋਂ ਛੁਟਕਾਰੇ ਲਈ ਦਰੱਖਤ ਕੱਟਣਾ ਸਾਡੇ ਵਾਤਾਵਰਨ ਦੇ ਲਈ ਨੁਕਸਾਨਦੇਹ ਰਹੇਗਾ। ਇਸ ਲਈ ਚਮਗਾਦੜਾਂ ਨੂੰ ਜਿਊਣ ਦਿਓ, ਬੱਸ ਓਹਨਾ ਤੋਂ ਸੁਰੱਖਿਅਤ ਦੂਰੀ ਰੱਖੋ।","இந்தியாவில் நாவல் கொரோனா வைரஸ் கிருமியை வெளவால்கள் பரப்புவதில்லை. ஆனால் அவை விவசாயத்திற்கும் பூச்சி கட்டுப்பாட்டிற்கும் முக்கியம். வெளவால்களை அகற்ற பெரிய மரங்களை வெட்டுவது சுற்றுச்சூழல் பாதிப்புக்கு வழிவகுக்கும். வெளவால்கள் வாழட்டும், அவர்களிடமிருந்து பாதுகாப்பான தூரத்தை பராமரிக்கவும்.",ଭାରତ ରେ ବାଦୁଡି ଦ୍ଵାରା କରୋନା ଭୂତାଣୁ ସଂକ୍ରମିତ ହେବାର କିଛି ପୂର୍ବ ପ୍ରମାଣ ନାହିଁ | କିନ୍ତୁ ସେମାନେ କୃଷି ଏବଂ ପୋକ ମାରିବା ରେ ସହାୟକ ହୋଇ ଥାନ୍ତି | ସେମାନଙ୍କୁ ଘଉଡେଇବା ପାଇଁ ବଡ ବଡ ଗଛ କାଟିବା ଦ୍ଵାରା କେବେଳ ବାତାବରଣ ର ହିଁ କ୍ଷତି ହେବ | ବାଦୁଡି ମାନଙ୍କୁ ବଞ୍ଚିବାକୁ  ଦେଇ ସେମାନଙ୍କ ଠୁଁ ନିରାପଦ ଦୂରତା ରକ୍ଷା କରିବା ଦରକାର |,"కరోనా వైరస్ భారతదేశంలో గబ్బిలాల ద్వారా వ్యాపిస్తుందని ఎటువంటి సమాచారం లేదు. వ్యవసాయం మరియు తెగులు నియంత్రణకు గబ్బిలాలు ముఖ్యమైనవి. కానీ చెట్లను నరికివేయడం వల్ల పర్యావరణ నష్టం తప్ప మరేమీ అవ్వదు. గబ్బిలాలను బతకనివ్వండి, కానీ వాటి నుండి సురక్షితమైన దూరంలో వుండండి.",ভাৰতত নতুন কৰ'না ভাইৰাছ বাদুলিৰ জৰিয়তে বিয়পাৰ কোনো তথ্য নাই। কিন্তু সিহঁত কৃষিৰ বাবে আৰু পোক-পতঙ্গ নাশ কৰাৰ বাবে অতি দৰকাৰী। ডাঙৰ গছ কাটি বাদুলি খেদিবলৈ গ'লে তাৰ ফলত পৰিৱেশ ধ্বংস হ'ব। বাদুলিবোৰক জীয়াই থাকিবলৈ দিয়ক; মাত্ৰ সিহঁতৰ পৰা নিৰাপদ দূৰত্বত থাকক। ,Ym pat ïoh jingtip ba ki lymbit ha India kin pynsaphriang ïa u novel coronavirus. Ki lymbit ki ïarap na ka bynta ka rep ka ring namar ki pynduna ïa ki khñiang. Ka jingpom ïa ki diengbah ban nym ai jaka ïa ki lymbit kan wanrah ïa ka jingktah ha ka mariang. Ai ba ki lymbit kin im bad shu ïaleh ban pynjngai na ki.,ಭಾರತದಲ್ಲಿರುವ ಬಾವಲಿಗಳು ಈ ಹೊಸ ಕೊರೋನಾ ವೈರಸ್ ಅನ್ನು ಹರಡುವುದಿಲ್ಲ. ಆದರೆ ಅವು ವ್ಯವಸಾಯಕ್ಕೆ ಮತ್ತು ಕ್ರಿಮಿಕೀಟಗಳ ನಾಶಕ್ಕೆ ಸಹಾಯ ಮಾಡುತ್ತವೆ. ಬಾವಲಿಗಳನ್ನು ಓಡಿಸಲು ಮರಗಳನ್ನು ಕಡಿಯುವುದರಿಂದ ಪರಿಸರ ನಾಶವಾಗುತ್ತದೆ. ಬಾವಲಿಗಳನ್ನು ತಮ್ಮ ಪಾಡಿಗೆ ಬದುಕಲು ಬಿಟ್ಟು ನೀವು ಅವುಗಳಿಂದ ದೂರವಿರಿ.    ,ہندوستان میں چمگادڑ ناول کورونا وئرس کو پھیلانے کے لئے ذمہ دار نہیں جانے جاتے ہیں۔ لیکن چمگادڑ زراعت اور کیڑوں پر قابو پانے کے لئے اہم  ہوتے ہیں۔ چمگادڑوں کو ماحول سے نکالنے کے لیے بڑے بڑے درخت کاٹنے سے ماحولیاتی نقصان ہوگا۔ چمگادڑوں کو زندہ رہنے دیں ، ان سے محض ایک فاصلہ برقرار رکھیں۔,"ইন্দিয়াদা শেকপীনা কোভিদ-১৯ শন্দোকহল্লী হাইনা খঙবা লৈত্রি। তৌইগুম্বশুঙ মখোইসি লৌঊ-শিংঊবা অমসুং তিন-কাং হনথহনবদা মরু ওই। শেকপী লৌথোকনবা অচৌবা ঊ-ৱা য়ান্থৎপনা মহৌশাগী ফীবমদা অকাইবা কয়া লাক্কনি। শেকপীশিংশু হিংজশনু, মখোইদগি লাপথোক্না লৈবিয়ু।","भारतान आढळणारीं वागळां हो कोरोनाविषणू पसरायतात असो पुरावो ना. पूण, शेती आनी कीटक नियंत्रण हातूंत वागळांची उत्तम भूमिका आसता. वागळांक सोपोवपाखातीर व्हडली झाडां कापून फक्त आमच्या पर्यावरणाक दुखापत जातली. त्याखातीर, वागळांक जगूंक दियात, तांच्यापासून सुरक्षित अंतर दवरल्यार पुरो.",Não se conhece nada sobre morcegos disseminando o Covid-19 no Brasil. Entretanto morcegos são importantes no controle de pestes e cortar árvores grandes para remover colônias de morcegos pode causar  dano ambiental. Deixe os morcegos em seus ambientes e mantenha uma distância segura deles. ,INdiyAd lEb seQpin noveL kronAvAIrs sNdoQI hAIbsi mmuY tAn KHd_riz seQpin lOwu-siHUbd amdi tiN-kAHgi msiH hNThNbd sruQ yAIz seQpisiHbu hNThNnbni hAIdun UjAao kQTYpn mhOsAgi fivMbu soQhNgniz sepisiHbu lEhNsi| mKoIdgi lAPtQn lErg loIrez
2,Image 2,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
2,,2,Consuming Datura will prevent coronavirus infection,,,,,,,,,,,,,,,,,,
2,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
